model;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_ccp_alpha;param_learning_rate;param_n_estimators;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;split10_test_score;split11_test_score;split12_test_score;split13_test_score;split14_test_score;split15_test_score;split16_test_score;split17_test_score;split18_test_score;split19_test_score;split20_test_score;split21_test_score;split22_test_score;split23_test_score;split24_test_score;split25_test_score;split26_test_score;split27_test_score;split28_test_score;split29_test_score;split30_test_score;split31_test_score;split32_test_score;split33_test_score;split34_test_score;split35_test_score;split36_test_score;split37_test_score;split38_test_score;split39_test_score;split40_test_score;split41_test_score;split42_test_score;split43_test_score;split44_test_score;split45_test_score;split46_test_score;split47_test_score;split48_test_score;split49_test_score;split50_test_score;split51_test_score;split52_test_score;split53_test_score;split54_test_score;split55_test_score;split56_test_score;split57_test_score;split58_test_score;split59_test_score;split60_test_score;split61_test_score;split62_test_score;split63_test_score;split64_test_score;split65_test_score;split66_test_score;split67_test_score;split68_test_score;split69_test_score;split70_test_score;split71_test_score;split72_test_score;split73_test_score;split74_test_score;split75_test_score;split76_test_score;split77_test_score;split78_test_score;split79_test_score;split80_test_score;split81_test_score;split82_test_score;split83_test_score;split84_test_score;split85_test_score;split86_test_score;split87_test_score;split88_test_score;split89_test_score;split90_test_score;split91_test_score;split92_test_score;split93_test_score;split94_test_score;split95_test_score;split96_test_score;split97_test_score;split98_test_score;split99_test_score;mean_test_score;std_test_score;rank_test_score
ccp_alpha:0_learning_rate:0.1_n_estimators:400;0.18236698150634767;0.023835606461325876;0.0010683822631835937;0.0005743557452308957;0;0.1;400;-0.09826066184053851;-0.0004076297749765557;-0.0030912754268824145;-0.0014832364286975458;-0.0005260349257190656;-0.0003099298120803413;-0.0021041084455067026;-0.00021811190133962877;-0.009069729250200326;-0.0005148370678448213;-0.00035784192161756586;-0.0002706739065003308;-0.0011376552908896856;-0.0018978621070106746;-0.0010131313335142575;-0.1555534527843612;-0.004558150995775762;-0.0020678787222966513;-0.0023957910187640537;-0.0002817692624247267;-0.00032586632993601824;-0.0025091228348287998;-0.002600815745701247;-0.00165575392396537;-0.0007162807550212267;-0.0010210821072148889;-0.0033026095338363998;-0.00018032426137882659;-0.000749313112165186;-0.12692893577835934;-0.0009604203814243657;-0.0010026674149484;-0.0005513226716279164;-0.11924821476861808;-0.0004581686764762892;-0.002719026203496328;-0.002887995408019557;-0.0005400889496707766;-0.0009771398362396246;-0.001353038680518781;-0.0009487990327717023;-0.0004883986613602662;-0.0003489507654332251;-0.0006676292212374442;-0.001094270437865292;-0.0013851039184395854;-0.1772840483132954;-0.0012973189867693904;-0.0054888325123975965;-7.857789508532619e-05;-0.00021795596440472457;-0.003379389579738655;-0.002908847309180882;-0.003404428157735716;-0.12899361809029192;-0.002580739153995303;-0.0009662268225478256;-0.0005893300663974257;-0.0004137913016133184;-0.0009707179526573013;-0.0005405845269571434;-0.00035017136851256284;-0.002816762255043382;-0.0003373785792083527;-0.1192550632195939;-0.0027524939241389194;-0.0038111151901040596;-0.00020871846930599152;-0.0030212493909375897;-0.001151352311665677;-0.0009467567287791932;-0.0012885879571814442;-0.0001835223368893152;-0.0020186776769987353;-0.0005124898158561558;-0.0004903970728658374;-0.0006884404541177307;-0.004074160107880277;-0.0025910748223565735;-0.16006228621119759;-0.005657480219044007;-0.005753688126487577;-0.0016234603168782057;-0.00892446109353772;-0.00010065006392458708;-0.0003059764580009739;-0.00025897614026864296;-0.19524698157791875;-0.004304810927906349;-0.0014314736461346035;-0.0029737496881835786;-0.00234681342322775;-0.0024862724506622253;-0.00017133765570913275;-0.00011367205683168123;-0.15858487059472484;-0.004578334837615473;-0.00036315587234040997;-0.003138588958352662;-0.0007176015006014986;-0.015958985617615475;0.04364073280070448;1
ccp_alpha:0_learning_rate:0.01_n_estimators:400;0.16747442722320557;0.009779994982822109;0.0009447765350341796;0.00011802122744988297;0;0.01;400;-0.11378890020939125;-0.00041331024245720336;-0.0028907405720650296;-0.001432920023040094;-0.0005281191505407693;-0.0004183948384519066;-0.001772793099358138;-0.0003339647575927738;-0.00353189437539534;-0.0007450750715673276;-0.00034089182505002766;-0.0005270139553080386;-0.0012006626029304936;-0.0017016989631805713;-0.001303198102070307;-0.14494998470643988;-0.003929572863088895;-0.0039013837750074935;-0.0035468429185058653;-0.0004228029265679;-0.00037381066136012994;-0.0019985230348236764;-0.00280961167838638;-0.0014220849152928024;-0.0005438904313341263;-0.0012038632845557294;-0.0035726874020822834;-0.000392967032336774;-0.0011607450293570107;-0.15906799159095644;-0.0013477967817542135;-0.0003041101597802043;-0.0005008772980848408;-0.1491198190182879;-0.00040146006912500446;-0.0037727379870822163;-0.004734874186406531;-0.0004156457045422291;-0.0012764209810814937;-0.001307128701372058;-0.00055463349239174;-0.0005240870951157943;-0.0005616071501164323;-0.0005317131687724443;-0.0008946251323972616;-0.001563758808172751;-0.18501394712630795;-0.0017213855525058822;-0.003272410705761833;-0.00012780505715061653;-0.0002850120418781937;-0.0024099794634048198;-0.0029747528349611013;-0.0030144606896062;-0.1478175661404635;-0.003916322460531336;-0.00042917368750327575;-0.0005108293312059735;-0.0005371110344219737;-0.0010898871842924941;-0.00041593754237426693;-0.0002811748144409026;-0.002984124928106181;-0.00036617002952161673;-0.14296402146754442;-0.0016963796136804593;-0.001795700757419515;-0.00023380809750508087;-0.0038270796145506995;-0.0015871323175798916;-0.0010418287361686975;-0.0009297872004914256;-0.0001930410928258384;-0.00252190918646686;-0.0007894581587467248;-0.0003819629423576697;-0.0005156707588351816;-0.003967943562027512;-0.0023232048001988587;-0.15485182591143967;-0.007451008129099186;-0.003542780817138515;-0.0006208045356846538;-0.0026064045840697835;-2.3679046521676314e-05;-0.00033725856181484833;-0.0003744958981900962;-0.15160952480333514;-0.004985334610588737;-0.0005043928838379001;-0.0032672327360206087;-0.003006535537995486;-0.0034393355764963086;-0.00012960719642634528;-8.854243832625262e-05;-0.15424818902502532;-0.0013506111304983882;-0.00038226566289976174;-0.0007713006898745319;-0.0005776748955302674;-0.016441434193746284;0.04496095579176645;2
ccp_alpha:0_learning_rate:0.05_n_estimators:400;0.1789121723175049;0.023943420048786954;0.0010221362113952636;0.00028621537909215733;0;0.05;400;-0.11563472949177539;-0.00037592080148896007;-0.0028085661984890366;-0.0019185680473208916;-0.0004861514894190062;-0.00035914212405399316;-0.0019251361484052102;-0.000280486387641203;-0.0029979747475018903;-0.0006285707350920426;-0.00016939625876027502;-0.0004904916355638098;-0.0014126003711290756;-0.0020422838844787916;-0.001021658275931098;-0.16712147412487677;-0.003703717587517415;-0.0035319355046949078;-0.002784408584225105;-0.00034795465754331443;-0.0003846520805348753;-0.005381217268262824;-0.0025695453982397167;-0.0015557514546839328;-0.0007164471418795861;-0.0009905926549064158;-0.0033969681957652224;-0.00023044974780359712;-0.0008794838577280648;-0.13582397378266453;-0.0013002563128995807;-0.000183455455117175;-0.000595197185033062;-0.15917706032891082;-0.000381398007309293;-0.006492705318277514;-0.004277575723734201;-0.0005059043586627656;-0.000975629828181045;-0.001253121500054277;-0.0011157173174981918;-0.0009282698798827648;-0.0004513140297664144;-0.0006259596818102296;-0.0017434353092663666;-0.00191259454749022;-0.15145479408122783;-0.0012710784663665623;-0.004168492178725542;-8.353557322559871e-05;-0.0002113518158613304;-0.00222404963834034;-0.0028405367712919156;-0.0022806672588123046;-0.13243465961669246;-0.0031476827895693432;-0.00040311933795972115;-0.0006657235371881594;-0.00045275472388989777;-0.0008739986787391593;-0.00030700212755271883;-0.00036889365230803524;-0.0028724371575811008;-0.00042466489249552735;-0.13968660157314705;-0.0013121178413795368;-0.001119249731393633;-0.0005751748928187756;-0.0030535036360191847;-0.001377561606756397;-0.0009008330678279035;-0.0008002774335404752;-0.00018019581396549398;-0.0025643689388036776;-0.000623407897053227;-0.0005881034777541587;-0.0006911696114741981;-0.0038462410024730806;-0.002047817686372225;-0.1848847715843924;-0.01235279814699493;-0.00503620788478509;-0.0003699555756148382;-0.0036539216992505174;-5.985817061941848e-05;-0.0002573805394268465;-0.00028408982484770567;-0.15012624315227968;-0.004305389684883284;-0.0003988265340294942;-0.002852629646994341;-0.0024970083849019564;-0.004230830583812168;-7.901296659045626e-05;-0.00045270707656977564;-0.1601097622487959;-0.001410604576198107;-0.0003790849221395988;-0.0005566576273455414;-0.0006740534303188965;-0.016447137041916682;0.04482414215205744;3
ccp_alpha:0_learning_rate:0.01_n_estimators:300;0.12702534437179566;0.005513310187730905;0.0009035611152648926;0.0001835197667168818;0;0.01;300;-0.10825696420498174;-0.00025416028051561;-0.002820811184408933;-0.0012632166283823635;-0.00041325719707451593;-0.0006157964137999862;-0.002198979645189366;-0.0005416548258260333;-0.0038157843250658393;-0.0014439711958591167;-0.0005266802023369082;-0.000580667298431575;-0.00128737070192954;-0.0009497571594020317;-0.001701587810399013;-0.14971156784747336;-0.004113857288574743;-0.002253176194994956;-0.0037942463108846334;-0.0007492121772731481;-0.00022533758944834947;-0.0021791792112801694;-0.002535778932206137;-0.001904996848298375;-0.00035252235586530936;-0.0017961371851790348;-0.0039024681557746806;-0.0004976806763651618;-0.001801180552605301;-0.14763370773065873;-0.0015364379000555035;-0.00022829034272510171;-0.00047638415675321864;-0.14797990110227288;-0.0004435330256017441;-0.003126029807058514;-0.004652484666486218;-0.00020711343611393073;-0.0017356858327824886;-0.0023137284325453057;-0.0008920045948718956;-0.000368846355385559;-0.0005987335288028539;-0.000497511177841216;-0.001497294484019802;-0.001783437822245399;-0.18018274985877855;-0.0024369113510462758;-0.0010768262899937544;-0.00020807295799227905;-0.0004565454945306921;-0.0020858810835277268;-0.002877409122473873;-0.0028437938728908606;-0.1543296415647915;-0.004977623641721026;-0.0002678986903365975;-0.0002750262798582309;-0.0007445591934703826;-0.001076402215781334;-0.00041882190455678835;-0.0001803163375230558;-0.002874649463695141;-0.0004074387689804166;-0.14950212626872847;-0.001737592036127271;-0.0013652406433410404;-0.00030340242063699597;-0.004909860374574052;-0.0019175555863226211;-0.0014173196451767714;-0.0011334089977223009;-0.00038169848364678823;-0.002707011463289851;-0.0006237014879392225;-0.00021241189638047977;-0.00044203188288019935;-0.003528329997943433;-0.0030909104125948464;-0.14566647466307123;-0.007383926909329611;-0.00406050840096529;-0.0006754424168179288;-0.0025391410892973607;-6.170087982258333e-05;-0.0005657462792269947;-0.000543512588987674;-0.15858998173301017;-0.006031597503287275;-0.000593824034445007;-0.003120771944973464;-0.003847800312995779;-0.0030040405336719442;-0.000332568881135132;-7.134183876636598e-05;-0.1566666063829877;-0.0011515764180141852;-0.0005535319800754908;-0.0007951166263527526;-0.0003714088653754435;-0.016460789147679084;0.044801984526889486;4
ccp_alpha:0_learning_rate:0.05_n_estimators:100;0.048447370529174805;0.00796364033358135;0.0008904361724853516;0.0007012614815579264;0;0.05;100;-0.0957046992611355;-0.00038809160733463497;-0.002836896865136148;-0.0015530775642585033;-0.0003906662418583602;-0.0003632704354625921;-0.0014827062063252356;-0.00031121585410007023;-0.009629554388681365;-0.0006549968498082544;-0.00048608993591479617;-0.0005003186873626347;-0.0012592132628151177;-0.0017679780985690762;-0.0011663953313438733;-0.1490833690159686;-0.0037204865774464854;-0.009584145339475518;-0.002897446767081367;-0.0003950051597906262;-0.0004306211165698136;-0.0024337353214315127;-0.003923477951361714;-0.0015230923341354012;-0.0006483446499090261;-0.0011516149036807863;-0.004573003269416183;-0.0006402704444154956;-0.0008948020091694044;-0.15602396138575855;-0.0011503614603470753;-0.0004549449661971373;-0.0005498861459253131;-0.15692526649682983;-0.0004044847008723413;-0.005511273532879908;-0.00440495149309285;-0.00032009203807065954;-0.0010415791302977118;-0.001021105948414781;-0.0010042617690702313;-0.00045431334353264734;-0.0004403616399591178;-0.0005931991877305053;-0.0006287935289600644;-0.001491936801406522;-0.16907268766048159;-0.0014414658100797006;-0.006308555712604292;-0.00010042996959708926;-0.00022380492913201165;-0.001495797694452784;-0.003363567519184189;-0.0039542710538753465;-0.1651007541670807;-0.003398422631820128;-0.00028025607636210896;-0.0006635112484319497;-0.00041711441243779784;-0.0007144725978045619;-0.0008821128269121492;-0.00027265945945159566;-0.002913300467219507;-0.0004465677101257688;-0.1307220776443675;-0.0046046817896712505;-0.0013985231949161577;-0.0002771270003457272;-0.003473405823524373;-0.0017240019182008391;-0.0009799785706869463;-0.000916393759678647;-0.0001772692036252428;-0.0013243733786489464;-0.0004748908029306809;-0.0005670916358820326;-0.0005898684286279079;-0.004265338087393972;-0.0023860077223833913;-0.16505471073360048;-0.0026105183991813464;-0.004397656610370686;-0.0007617626264184326;-0.006942729297924087;-6.344312609190345e-05;-0.00028268466554244825;-0.0002906484683146522;-0.14140176330805243;-0.004569750547666357;-0.00044163659328360483;-0.0033255905029117355;-0.0025737802459340616;-0.004027325588247057;-9.232351860783744e-05;-0.0004906762319914862;-0.16438504644721627;-0.0012508977303385593;-0.00033353545940594236;-0.0007232864795339104;-0.0006093938405953294;-0.016523753003484687;0.044818418194759055;5
ccp_alpha:0_learning_rate:0.1_n_estimators:300;0.14232528686523438;0.016465948625206773;0.0010090160369873047;0.0006869474749379505;0;0.1;300;-0.10707271622922182;-0.00041643505717861996;-0.001976284478179718;-0.0017096121651304745;-0.00037577917776996874;-0.0003548961021138061;-0.0032338750569563626;-0.0002116668703131668;-0.005096618127431341;-0.00033474934674846443;-0.000348277732940426;-0.0005259643342513803;-0.001407394967603637;-0.0018077047896902954;-0.000996420537585933;-0.18752959757290724;-0.0047477658123315;-0.00617134365557223;-0.002143195893661213;-0.00035190504595609674;-0.0004508279092213109;-0.004905249769638556;-0.002542245507853732;-0.0016204911272478721;-0.0007619322898264519;-0.0010179801570962376;-0.003698765723986676;-0.000614751867830911;-0.000761433858522345;-0.14963158587045283;-0.0013809839086518928;-0.0009908532980760143;-0.0005639352470504073;-0.12486988979895434;-0.00047744349554252875;-0.004400007300839964;-0.003966753800793431;-0.00047591371436726083;-0.0009131840311847351;-0.001219640238674012;-0.0008764910463147685;-0.0007854445708957194;-0.0007707963027831771;-0.0006835102582031725;-0.0006496237798949056;-0.002447397847879021;-0.14301793096250692;-0.0012857305137752527;-0.004635673810725007;-0.00012241094350396453;-0.0002227829909242086;-0.004046229599070707;-0.0034047216306790696;-0.0013437238519781603;-0.15090418623067578;-0.0029398497041291413;-0.001009350941824346;-0.0007171155765921636;-0.0003669809599877964;-0.0007296347200397882;-0.00030799735795400537;-0.0002957570676434748;-0.0028785315352772897;-0.00048069535586281014;-0.15835763944063513;-0.002336782604412247;-0.0017419681306999194;-0.000193141231987191;-0.003012505542170666;-0.0013877224197125233;-0.0010109152468594346;-0.0005860566705240235;-0.00020189595126064074;-0.006745335852173136;-0.0003914525007281897;-0.0006713250680533576;-0.0006811876849461004;-0.0041276801517100515;-0.0023434849674111697;-0.16977028089336968;-0.0020587056370089955;-0.005496963001088231;-0.001175555098178466;-0.00153857224193177;-0.0001003421454228957;-0.0003294131052537449;-0.0003027385541082377;-0.1710817465547729;-0.0042048396747689475;-0.0005878181604967932;-0.0029757026357432478;-0.0025361893952229194;-0.0072028881160806895;-9.969500825481182e-05;-0.00023065575229119472;-0.13743091745638514;-0.002996580896270158;-0.00037032985601589876;-0.0012668907423461309;-0.0006289269704283178;-0.016531734847871987;0.04506422506423457;6
ccp_alpha:0_learning_rate:0.05_n_estimators:200;0.0958643341064453;0.01798273652097005;0.0009441137313842774;0.0005333771281832753;0;0.05;200;-0.1275717508188964;-0.00040414334937917537;-0.003342717649443866;-0.001221585620202766;-0.00046790189801679645;-0.0003254151289168583;-0.001637639661284534;-0.00027703631438961274;-0.0025491227850667664;-0.0005329627025315982;-0.0006245562316464801;-0.0004827327807515434;-0.0013255155414614922;-0.0029668352908424097;-0.0010296627453929511;-0.14748205135983325;-0.003980783758058097;-0.004826170457539203;-0.00276750169553147;-0.00027535528802482347;-0.00041336001223736416;-0.003108785128493475;-0.0029300395676737827;-0.001317462897018985;-0.0006994415743338634;-0.001093079025875333;-0.004038287042874;-0.00032847704014638083;-0.000732169674467608;-0.14772863411402642;-0.0011483225433476078;-0.0002696397302015228;-0.0006117194500853488;-0.1570565897220587;-0.0004182647445070448;-0.006103492034270556;-0.004476243469460022;-0.000558903727644114;-0.0009419901017984018;-0.0015223063327773894;-0.0007989888002644206;-0.0003341154533459266;-0.0003183228640856175;-0.0006301664199224707;-0.0005887459128226223;-0.0022620074122683513;-0.1694941411178389;-0.0012895998579971482;-0.0060484370370721486;-9.828817909114071e-05;-0.00020682233178576467;-0.0031182323756365907;-0.003241706107061573;-0.0016154909972848554;-0.1524169801646656;-0.003011578834923354;-0.0003768929123003463;-0.0006817106733965874;-0.00046624430543169983;-0.0008605136447999421;-0.0004297897478193661;-0.00039069129170561016;-0.0028294512493635578;-0.00039048029773161255;-0.14504245188501202;-0.0025974283338757484;-0.001655829609205845;-0.00041523440249459153;-0.0033292804770416397;-0.0022940677835446063;-0.0015802032801217171;-0.001115396517182477;-0.000173236088702314;-0.0038487831668723694;-0.0004608380372459076;-0.000545357306100406;-0.0006743880620568402;-0.00427151123232218;-0.0021124461181561724;-0.16599770121228885;-0.008130110227507106;-0.003763389030297479;-0.00045679918055488807;-0.006742116053403362;-8.181353899365697e-05;-0.00025896503743219894;-0.00027359537134175537;-0.14250199193899685;-0.004884470804530079;-0.0006023502559391442;-0.0028055386571374766;-0.0025808089744465837;-0.004248229012242377;-6.428629695084137e-05;-0.0001703435897968641;-0.15575153782373563;-0.0015225344609495837;-0.00037256474865384007;-0.00048521275756336805;-0.0006284136789576542;-0.016639272719507776;0.04499679882210958;7
